ProductID,Date,StockOnHand,DeliveredQuantity,SalesQuantity,WasteQuantity,Recommended stock Quantity
75,2022/06/01,58,36,36,6,94
76,2022/06/01,67,40,42,7,109
99,2022/06/01,6,0,0,0,6
117,2022/06/01,5,4,1,0,6
118,2022/06/01,6,4,0,0,6
119,2022/06/01,4,0,3,0,7
120,2022/06/01,8,0,0,0,8
149,2022/06/01,3,0,0,0,3
184,2022/06/01,25,15,8,1,33
195,2022/06/01,47,33,32,1,79
218,2022/06/01,39,27,21,9,60
296,2022/06/01,4,0,1,0,5
300,2022/06/01,14,8,1,0,15
304,2022/06/01,16,6,2,0,18
317,2022/06/01,16,16,8,0,24
343,2022/06/01,7,4,1,0,8
353,2022/06/01,5,0,1,0,6
373,2022/06/01,12,8,8,0,20
374,2022/06/01,6,4,2,0,8
388,2022/06/01,27,21,15,0,42
419,2022/06/01,17,16,11,0,28
420,2022/06/01,12,8,8,0,20
462,2022/06/01,18,8,4,0,22
519,2022/06/01,11,0,2,0,13
525,2022/06/01,8,0,2,0,10
596,2022/06/01,18,4,3,0,21
597,2022/06/01,28,12,7,0,35
598,2022/06/01,8,0,4,0,12
1035,2022/06/01,15,12,6,0,21
1084,2022/06/01,27,10,8,4,35
1111,2022/06/01,12,0,0,0,12
1113,2022/06/01,11,6,0,0,11
1114,2022/06/01,14,6,4,0,18
1115,2022/06/01,10,6,1,0,11
1117,2022/06/01,8,0,0,0,8
1118,2022/06/01,13,0,1,0,14
1119,2022/06/01,7,0,0,0,7
1692,2022/06/01,15,0,7,0,22
1693,2022/06/01,31,0,5,0,36
1747,2022/06/01,34,20,17,0,51
1772,2022/06/01,6,0,0,0,6
1773,2022/06/01,11,0,0,0,11
1774,2022/06/01,10,8,5,0,15
1782,2022/06/01,43,24,16,2,59
1795,2022/06/01,27,14,7,0,34
1914,2022/06/01,5,0,0,0,5
1915,2022/06/01,6,0,0,0,6
1923,2022/06/01,12,0,1,0,13
1934,2022/06/01,9,6,2,0,11
1963,2022/06/01,25,16,15,0,40
1984,2022/06/01,5,0,3,0,8
2135,2022/06/01,10,6,0,0,10
2136,2022/06/01,8,6,1,0,9
2148,2022/06/01,4,0,2,0,6
2183,2022/06/01,7,6,5,0,12
2193,2022/06/01,34,21,15,8,49
2237,2022/06/01,6,0,0,0,6
2358,2022/06/01,20,8,2,0,22
2361,2022/06/01,16,7,2,0,18
2445,2022/06/01,21,0,5,0,26
2449,2022/06/01,8,0,6,0,14
2451,2022/06/01,0,0,8,0,8
2475,2022/06/01,12,0,1,0,13
2476,2022/06/01,6,0,0,0,6
2507,2022/06/01,28,12,7,0,35
2525,2022/06/01,7,0,1,0,8
2562,2022/06/01,37,0,7,0,44
2582,2022/06/01,5,0,0,0,5
2586,2022/06/01,23,20,10,1,33
2631,2022/06/01,4,0,4,0,8
2685,2022/06/01,13,8,6,0,19
2723,2022/06/01,10,0,0,0,10
2730,2022/06/01,9,6,1,0,10
2731,2022/06/01,14,0,1,0,15
2732,2022/06/01,7,0,0,0,7
2734,2022/06/01,5,0,0,0,5
2735,2022/06/01,15,8,2,0,17
2761,2022/06/01,22,20,12,0,34
2788,2022/06/01,21,12,9,8,30
2812,2022/06/01,5,0,0,0,5
2813,2022/06/01,9,0,1,0,10
2814,2022/06/01,7,0,2,0,9
2913,2022/06/01,8,0,2,0,10
2914,2022/06/01,5,0,1,0,6
3015,2022/06/01,7,0,0,0,7
3033,2022/06/01,8,0,0,0,8
3035,2022/06/01,6,0,0,0,6
4446,2022/06/01,19,9,8,1,27
12136,2022/06/01,31,18,21,7,52
12516,2022/06/01,8,0,2,0,10
12518,2022/06/01,12,0,1,0,13
12523,2022/06/01,11,4,1,0,12
16062,2022/06/01,7,0,0,0,7
16063,2022/06/01,11,6,0,0,11
19322,2022/06/01,8,0,0,0,8
19329,2022/06/01,12,0,2,0,14
19516,2022/06/01,12,8,6,0,18
19520,2022/06/01,9,0,1,0,10
75,2022/06/02,60,44,59,2,119
76,2022/06/02,52,32,36,0,88
99,2022/06/02,6,0,1,0,7
117,2022/06/02,8,4,6,0,14
118,2022/06/02,10,4,2,0,12
119,2022/06/02,1,0,0,0,1
120,2022/06/02,8,0,2,3,10
149,2022/06/02,9,6,0,0,9
184,2022/06/02,31,15,19,1,50
195,2022/06/02,39,24,28,0,67
218,2022/06/02,18,9,10,10,28
296,2022/06/02,9,6,3,0,12
300,2022/06/02,13,0,3,0,16
304,2022/06/02,14,0,5,0,19
317,2022/06/02,16,8,9,0,25
343,2022/06/02,10,4,5,1,15
353,2022/06/02,4,0,0,0,4
373,2022/06/02,12,8,12,0,24
374,2022/06/02,8,4,1,0,9
388,2022/06/02,31,18,24,4,55
419,2022/06/02,6,0,6,0,12
420,2022/06/02,4,0,0,0,4
462,2022/06/02,14,0,6,0,20
519,2022/06/02,21,12,8,0,29
525,2022/06/02,6,0,0,0,6
596,2022/06/02,15,0,2,4,17
597,2022/06/02,22,0,12,2,34
598,2022/06/02,4,0,2,0,6
1035,2022/06/02,15,6,2,0,17
1084,2022/06/02,15,0,5,0,20
1111,2022/06/02,12,0,0,0,12
1113,2022/06/02,11,0,0,0,11
1114,2022/06/02,10,0,0,0,10
1115,2022/06/02,9,0,2,0,11
1117,2022/06/02,8,0,0,0,8
1118,2022/06/02,12,0,2,0,14
1119,2022/06/02,7,0,0,0,7
1692,2022/06/02,8,0,4,0,12
1693,2022/06/02,26,0,3,0,29
1747,2022/06/02,32,15,27,0,59
1772,2022/06/02,6,0,0,0,6
1773,2022/06/02,11,0,1,0,12
1774,2022/06/02,5,0,3,0,8
