"ProductID","Date","StockOnHand","DeliveredQuantity","SalesQuantity","WasteQuantity"
"75","6/1/2022","58","36","36","6"
"76","6/1/2022","67","40","42","7"
"99","6/1/2022","6","0","0","0"
"117","6/1/2022","5","4","1","0"
"118","6/1/2022","6","4","0","0"
"119","6/1/2022","4","0","3","0"
"120","6/1/2022","8","0","0","0"
"149","6/1/2022","3","0","0","0"
"184","6/1/2022","25","15","8","1"
"195","6/1/2022","47","33","32","1"
"218","6/1/2022","39","27","21","9"
"296","6/1/2022","4","0","1","0"
"300","6/1/2022","14","8","1","0"
"304","6/1/2022","16","6","2","0"
"317","6/1/2022","16","16","8","0"
"343","6/1/2022","7","4","1","0"
"353","6/1/2022","5","0","1","0"
"373","6/1/2022","12","8","8","0"
"374","6/1/2022","6","4","2","0"
"388","6/1/2022","27","21","15","0"
"419","6/1/2022","17","16","11","0"
"420","6/1/2022","12","8","8","0"
"462","6/1/2022","18","8","4","0"
"519","6/1/2022","11","0","2","0"
"525","6/1/2022","8","0","2","0"
"596","6/1/2022","18","4","3","0"
"597","6/1/2022","28","12","7","0"
"598","6/1/2022","8","0","4","0"
"1035","6/1/2022","15","12","6","0"
"1084","6/1/2022","27","10","8","4"
"1111","6/1/2022","12","0","0","0"
"1113","6/1/2022","11","6","0","0"
"1114","6/1/2022","14","6","4","0"
"1115","6/1/2022","10","6","1","0"
"1117","6/1/2022","8","0","0","0"
"1118","6/1/2022","13","0","1","0"
"1119","6/1/2022","7","0","0","0"
"1692","6/1/2022","15","0","7","0"
"1693","6/1/2022","31","0","5","0"
"1747","6/1/2022","34","20","17","0"
"1772","6/1/2022","6","0","0","0"
"1773","6/1/2022","11","0","0","0"
"1774","6/1/2022","10","8","5","0"
"1782","6/1/2022","43","24","16","2"
"1795","6/1/2022","27","14","7","0"
"1914","6/1/2022","5","0","0","0"
"1915","6/1/2022","6","0","0","0"
"1923","6/1/2022","12","0","1","0"
"1934","6/1/2022","9","6","2","0"
"1963","6/1/2022","25","16","15","0"
"1984","6/1/2022","5","0","3","0"
"2135","6/1/2022","10","6","0","0"
"2136","6/1/2022","8","6","1","0"
"2148","6/1/2022","4","0","2","0"
"2183","6/1/2022","7","6","5","0"
"2193","6/1/2022","34","21","15","8"
"2237","6/1/2022","6","0","0","0"
"2358","6/1/2022","20","8","2","0"
"2361","6/1/2022","16","7","2","0"
"2445","6/1/2022","21","0","5","0"
"2449","6/1/2022","8","0","6","0"
"2451","6/1/2022","0","0","8","0"
"2475","6/1/2022","12","0","1","0"
"2476","6/1/2022","6","0","0","0"
"2507","6/1/2022","28","12","7","0"
"2525","6/1/2022","7","0","1","0"
"2562","6/1/2022","37","0","7","0"
"2582","6/1/2022","5","0","0","0"
"2586","6/1/2022","23","20","10","1"
"2631","6/1/2022","4","0","4","0"
"2685","6/1/2022","13","8","6","0"
"2723","6/1/2022","10","0","0","0"
"2730","6/1/2022","9","6","1","0"
"2731","6/1/2022","14","0","1","0"
"2732","6/1/2022","7","0","0","0"
"2734","6/1/2022","5","0","0","0"
"2735","6/1/2022","15","8","2","0"
"2761","6/1/2022","22","20","12","0"
"2788","6/1/2022","21","12","9","8"
"2812","6/1/2022","5","0","0","0"
"2813","6/1/2022","9","0","1","0"
"2814","6/1/2022","7","0","2","0"
"2913","6/1/2022","8","0","2","0"
"2914","6/1/2022","5","0","1","0"
"3015","6/1/2022","7","0","0","0"
"3033","6/1/2022","8","0","0","0"
"3035","6/1/2022","6","0","0","0"
"4446","6/1/2022","19","9","8","1"
"12136","6/1/2022","31","18","21","7"
"12516","6/1/2022","8","0","2","0"
"12518","6/1/2022","12","0","1","0"
"12523","6/1/2022","11","4","1","0"
"16062","6/1/2022","7","0","0","0"
"16063","6/1/2022","11","6","0","0"
"19322","6/1/2022","8","0","0","0"
"19329","6/1/2022","12","0","2","0"
"19516","6/1/2022","12","8","6","0"
"19520","6/1/2022","9","0","1","0"
"75","6/2/2022","60","44","59","2"
"76","6/2/2022","52","32","36","0"
"99","6/2/2022","6","0","1","0"
"117","6/2/2022","8","4","6","0"
"118","6/2/2022","10","4","2","0"
"119","6/2/2022","1","0","0","0"
"120","6/2/2022","8","0","2","3"
"149","6/2/2022","9","6","0","0"
"184","6/2/2022","31","15","19","1"
"195","6/2/2022","39","24","28","0"
"218","6/2/2022","18","9","10","10"
"296","6/2/2022","9","6","3","0"
"300","6/2/2022","13","0","3","0"
"304","6/2/2022","14","0","5","0"
"317","6/2/2022","16","8","9","0"
"343","6/2/2022","10","4","5","1"
"353","6/2/2022","4","0","0","0"
"373","6/2/2022","12","8","12","0"
"374","6/2/2022","8","4","1","0"
"388","6/2/2022","31","18","24","4"
"419","6/2/2022","6","0","6","0"
"420","6/2/2022","4","0","0","0"
"462","6/2/2022","14","0","6","0"
"519","6/2/2022","21","12","8","0"
"525","6/2/2022","6","0","0","0"
"596","6/2/2022","15","0","2","4"
"597","6/2/2022","22","0","12","2"
"598","6/2/2022","4","0","2","0"
"1035","6/2/2022","15","6","2","0"
"1084","6/2/2022","15","0","5","0"
"1111","6/2/2022","12","0","0","0"
"1113","6/2/2022","11","0","0","0"
"1114","6/2/2022","10","0","0","0"
"1115","6/2/2022","9","0","2","0"
"1117","6/2/2022","8","0","0","0"
"1118","6/2/2022","12","0","2","0"
"1119","6/2/2022","7","0","0","0"
"1692","6/2/2022","8","0","4","0"
"1693","6/2/2022","26","0","3","0"
"1747","6/2/2022","32","15","27","0"
"1772","6/2/2022","6","0","0","0"
"1773","6/2/2022","11","0","1","0"
"1774","6/2/2022","5","0","3","0"
"1782","6/2/2022","34","9","22","9"
"1795","6/2/2022","34","14","19","0"
"1914","6/2/2022","5","0","0","0"
"1915","6/2/2022","6","0","0","0"
"1923","6/2/2022","11","0","0","0"
"1934","6/2/2022","7","0","2","0"
"1963","6/2/2022","18","8","11","0"
"1984","6/2/2022","8","6","0","0"
"2135","6/2/2022","10","0","1","0"
"2136","6/2/2022","7","0","0","0"
"2148","6/2/2022","2","0","1","0"
"2183","6/2/2022","8","6","4","0"
"2193","6/2/2022","26","15","15","6"
"2237","6/2/2022","6","0","2","0"
"2358","6/2/2022","18","0","3","0"
"2361","6/2/2022","14","0","5","0"
"2445","6/2/2022","16","0","4","0"
"2449","6/2/2022","10","8","10","0"
"2451","6/2/2022","2","10","1","0"
"2475","6/2/2022","11","0","0","0"
"2476","6/2/2022","6","0","1","0"
"2507","6/2/2022","21","0","14","0"
"2525","6/2/2022","6","0","0","0"
"2562","6/2/2022","30","0","11","0"
"2582","6/2/2022","5","0","0","0"
"2586","6/2/2022","32","20","27","1"
"2631","6/2/2022","6","6","0","0"
"2685","6/2/2022","11","4","6","0"
"2723","6/2/2022","10","0","1","0"
"2730","6/2/2022","8","0","1","0"
"2731","6/2/2022","13","0","1","0"
"2732","6/2/2022","7","0","1","0"
"2734","6/2/2022","9","4","4","0"
"2735","6/2/2022","13","0","1","0"
"2761","6/2/2022","30","20","22","1"
"2788","6/2/2022","20","16","12","1"
"2812","6/2/2022","5","0","0","0"
"2813","6/2/2022","8","0","0","0"
"2814","6/2/2022","5","0","0","0"
"2913","6/2/2022","6","0","0","0"
"2914","6/2/2022","4","0","1","0"
"3015","6/2/2022","7","0","0","0"
"3033","6/2/2022","8","0","0","0"
"3035","6/2/2022","6","0","0","0"
"4446","6/2/2022","19","9","9","8"
"12136","6/2/2022","25","21","20","2"
"12516","6/2/2022","6","0","4","0"
"12518","6/2/2022","11","0","5","0"
"12523","6/2/2022","10","0","3","0"
"16062","6/2/2022","7","0","0","0"
"16063","6/2/2022","11","0","1","0"
"19322","6/2/2022","8","0","0","0"
"19329","6/2/2022","10","0","2","0"
"19516","6/2/2022","6","0","2","0"
